Date,Open,High,Low,Close,Adj Close,Volume
9/28/2015,3.9713,4.0368,3.9708,3.9676,3.9676,0
9/29/2015,4.1038,4.1443,4.0714,4.1037,4.1037,0
9/30/2015,4.0549,4.06,3.9503,4.0544,4.0544,0
10/1/2015,3.9455,3.9931,3.9348,3.9457,3.9457,0
10/2/2015,3.9993,4.0373,3.9572,3.9988,3.9988,0
10/5/2015,3.9263,3.9449,3.8837,3.9275,3.9275,0
10/6/2015,3.9109,3.9377,3.8271,3.9099,3.9099,0
10/7/2015,3.8504,3.8529,3.7869,3.849,3.849,0
10/8/2015,3.8794,3.9037,3.8174,3.8803,3.8803,0
10/9/2015,3.7808,3.7832,3.7201,3.7819,3.7819,0
10/12/2015,3.7615,3.7635,3.738,3.7591,3.7591,0
10/13/2015,3.76,3.8463,3.7359,3.7605,3.7605,0
10/14/2015,3.8888,3.8901,3.8322,3.8888,3.8888,0
10/15/2015,3.8067,3.8691,3.7781,3.8071,3.8071,0
10/16/2015,3.7933,3.8561,3.7902,3.7925,3.7925,0
10/19/2015,3.9146,3.9272,3.8606,3.9207,3.9207,0
10/20/2015,3.8863,3.8883,3.8436,3.8878,3.8878,0
10/21/2015,3.873,3.9603,3.873,3.9023,3.9023,0
10/22/2015,3.9358,3.9583,3.9023,3.9367,3.9367,0
10/23/2015,3.9025,3.9245,3.8616,3.9023,3.9023,0
10/26/2015,3.8713,3.8938,3.8246,3.8756,3.8756,0
10/27/2015,3.9037,3.9272,3.8842,3.9039,3.9039,0
10/28/2015,3.8839,3.9047,3.8582,3.8834,3.8834,0
10/29/2015,3.8963,3.9525,3.8925,3.8972,3.8972,0
10/30/2015,3.8441,3.884,3.825,3.8447,3.8447,0
11/2/2015,3.8386,3.8537,3.8331,3.8514,3.8514,0
11/3/2015,3.8706,3.8706,3.7757,3.8702,3.8702,0
11/4/2015,3.7676,3.8103,3.7444,3.7671,3.7671,0
11/5/2015,3.7935,3.8127,3.7643,3.7956,3.7956,0
11/6/2015,3.7785,3.8368,3.7587,3.7801,3.7801,0
11/9/2015,3.7765,3.8002,3.7615,3.7663,3.7663,0
11/10/2015,3.7977,3.8186,3.7706,3.7991,3.7991,0
11/11/2015,3.745,3.7609,3.7033,3.7454,3.7454,0
11/12/2015,3.7634,3.8198,3.743,3.7629,3.7629,0
11/13/2015,3.7668,3.8225,3.7591,3.7669,3.7669,0
11/16/2015,3.8622,3.8622,3.8169,3.8406,3.8406,0
11/17/2015,3.8251,3.8261,3.7835,3.8256,3.8256,0
11/18/2015,3.8076,3.8091,3.7696,3.8083,3.8083,0
11/19/2015,3.7677,3.768,3.7159,3.7671,3.7671,0
11/20/2015,3.7616,3.7616,3.7017,3.7612,3.7612,0
11/23/2015,3.7002,3.734,3.6881,3.6996,3.6996,0
11/24/2015,3.7287,3.7404,3.6913,3.7289,3.7289,0
11/25/2015,3.6956,3.8013,3.6909,3.6962,3.6962,0
11/26/2015,3.7405,3.7635,3.7309,3.7394,3.7394,0
11/27/2015,3.7396,3.7657,3.7128,3.7384,3.7384,0
11/30/2015,3.8414,3.9105,3.7274,3.8414,3.8414,0
12/1/2015,3.8671,3.8989,3.8311,3.8666,3.8666,0
12/2/2015,3.8501,3.8607,3.8354,3.8506,3.8506,0
12/3/2015,3.8322,3.8322,3.7695,3.8323,3.8323,0
12/4/2015,3.7562,3.7834,3.7205,3.7559,3.7559,0
12/7/2015,3.755,3.7716,3.7258,3.751,3.751,0
12/8/2015,3.7599,3.8155,3.7423,3.7595,3.7595,0
12/9/2015,3.8152,3.8163,3.717,3.8145,3.8145,0
12/10/2015,3.7436,3.7799,3.7362,3.7427,3.7427,0
12/11/2015,3.8077,3.884,3.8004,3.8078,3.8078,0
12/14/2015,3.868,3.9188,3.8588,3.8127,3.8127,0
12/15/2015,3.8835,3.8895,3.8475,3.8844,3.8844,0
12/16/2015,3.9065,3.9598,3.8993,3.9059,3.9059,0
12/17/2015,3.8927,3.9124,3.8557,3.8929,3.8929,0
12/18/2015,3.8757,3.9327,3.8718,3.8763,3.8763,0
12/21/2015,3.9767,4.0353,3.9586,3.9784,3.9784,0
12/22/2015,4.0118,4.0129,3.9563,4.0114,4.0114,0
12/23/2015,3.9842,3.9927,3.9523,3.9852,3.9852,0
12/24/2015,3.9409,3.9416,3.9329,3.941,3.941,0
12/25/2015,3.9128,3.9128,3.9128,3.913,3.913,0
12/28/2015,3.9098,3.959,3.8751,3.9082,3.9082,0
